Category: All categories,
,
Month,Cyberbullying
Jan-04,10
Feb-04,0
Mar-04,8
Apr-04,7
May-04,6
Jun-04,12
Jul-04,6
Aug-04,0
Sep-04,5
Oct-04,13
Nov-04,10
Dec-04,11
Jan-05,9
Feb-05,9
Mar-05,10
Apr-05,16
May-05,15
Jun-05,8
Jul-05,4
Aug-05,0
Sep-05,8
Oct-05,14
Nov-05,8
Dec-05,8
Jan-06,20
Feb-06,9
Mar-06,21
Apr-06,17
May-06,18
Jun-06,6
Jul-06,6
Aug-06,0
Sep-06,10
Oct-06,19
Nov-06,14
Dec-06,10
Jan-07,11
Feb-07,34
Mar-07,21
Apr-07,30
May-07,28
Jun-07,17
Jul-07,12
Aug-07,7
Sep-07,19
Oct-07,25
Nov-07,38
Dec-07,21
Jan-08,33
Feb-08,30
Mar-08,27
Apr-08,39
May-08,32
Jun-08,16
Jul-08,15
Aug-08,8
Sep-08,24
Oct-08,39
Nov-08,49
Dec-08,27
Jan-09,27
Feb-09,36
Mar-09,28
Apr-09,33
May-09,36
Jun-09,17
Jul-09,9
Aug-09,6
Sep-09,17
Oct-09,29
Nov-09,42
Dec-09,22
Jan-10,37
Feb-10,33
Mar-10,36
Apr-10,43
May-10,38
Jun-10,19
Jul-10,15
Aug-10,6
Sep-10,20
Oct-10,47
Nov-10,54
Dec-10,36
Jan-11,38
Feb-11,38
Mar-11,43
Apr-11,42
May-11,40
Jun-11,23
Jul-11,20
Aug-11,14
Sep-11,34
Oct-11,50
Nov-11,69
Dec-11,39
Jan-12,44
Feb-12,49
Mar-12,52
Apr-12,45
May-12,39
Jun-12,31
Jul-12,13
Aug-12,13
Sep-12,23
Oct-12,84
Nov-12,99
Dec-12,46
Jan-13,56
Feb-13,59
Mar-13,47
Apr-13,73
May-13,56
Jun-13,38
Jul-13,16
Aug-13,25
Sep-13,42
Oct-13,63
Nov-13,100
Dec-13,55
Jan-14,77
Feb-14,81
Mar-14,67
Apr-14,69
May-14,67
Jun-14,45
Jul-14,24
Aug-14,19
Sep-14,40
Oct-14,61
Nov-14,81
Dec-14,56
Jan-15,61
Feb-15,61
Mar-15,69
Apr-15,71
May-15,49
Jun-15,41
Jul-15,22
Aug-15,13
Sep-15,39
Oct-15,47
Nov-15,72
Dec-15,57
Jan-16,54
Feb-16,51
Mar-16,52
Apr-16,53
May-16,47
Jun-16,39
Jul-16,18
Aug-16,13
Sep-16,31
Oct-16,44
Nov-16,60
Dec-16,48
Jan-17,41
Feb-17,53
Mar-17,52
Apr-17,49
May-17,44
Jun-17,33
Jul-17,15
Aug-17,12
Sep-17,29
Oct-17,43
Nov-17,52
Dec-17,39
Jan-18,43
Feb-18,52
Mar-18,44
Apr-18,42
May-18,31
Jun-18,38
Jul-18,17
Aug-18,13
Sep-18,26
Oct-18,38
Nov-18,50
Dec-18,29
Jan-19,50
Feb-19,41
Mar-19,38
Apr-19,35
May-19,36
Jun-19,24
Jul-19,13
Aug-19,10
