Category: All categories

Month,instagram bullying: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,5
2011-05,0
2011-06,0
2011-07,0
2011-08,4
2011-09,4
2011-10,0
2011-11,8
2011-12,4
2012-01,4
2012-02,8
2012-03,11
2012-04,9
2012-05,6
2012-06,5
2012-07,7
2012-08,12
2012-09,9
2012-10,26
2012-11,23
2012-12,21
2013-01,31
2013-02,35
2013-03,47
2013-04,63
2013-05,62
2013-06,51
2013-07,35
2013-08,41
2013-09,55
2013-10,59
2013-11,71
2013-12,40
2014-01,67
2014-02,52
2014-03,68
2014-04,56
2014-05,85
2014-06,57
2014-07,72
2014-08,59
2014-09,77
2014-10,89
2014-11,76
2014-12,51
2015-01,57
2015-02,78
2015-03,70
2015-04,76
2015-05,53
2015-06,66
2015-07,39
2015-08,46
2015-09,63
2015-10,71
2015-11,90
2015-12,47
2016-01,62
2016-02,78
2016-03,53
2016-04,59
2016-05,62
2016-06,60
2016-07,49
2016-08,43
2016-09,65
2016-10,68
2016-11,61
2016-12,58
2017-01,58
2017-02,70
2017-03,54
2017-04,66
2017-05,72
2017-06,48
2017-07,60
2017-08,49
2017-09,67
2017-10,78
2017-11,66
2017-12,72
2018-01,82
2018-02,68
2018-03,72
2018-04,63
2018-05,100
2018-06,48
2018-07,56
2018-08,44
2018-09,69
2018-10,85
2018-11,84
2018-12,68
2019-01,80
2019-02,64
2019-03,90
2019-04,86
2019-05,70
2019-06,73
2019-07,92
2019-08,66
