Category: All categories

Month,what is machine learning: (Worldwide)
2004-01,9
2004-02,9
2004-03,11
2004-04,17
2004-05,8
2004-06,15
2004-07,8
2004-08,22
2004-09,7
2004-10,7
2004-11,7
2004-12,6
2005-01,6
2005-02,8
2005-03,8
2005-04,6
2005-05,5
2005-06,5
2005-07,7
2005-08,5
2005-09,13
2005-10,8
2005-11,8
2005-12,4
2006-01,6
2006-02,7
2006-03,9
2006-04,8
2006-05,3
2006-06,3
2006-07,5
2006-08,6
2006-09,6
2006-10,5
2006-11,5
2006-12,3
2007-01,3
2007-02,2
2007-03,4
2007-04,4
2007-05,5
2007-06,8
2007-07,0
2007-08,2
2007-09,3
2007-10,2
2007-11,5
2007-12,4
2008-01,4
2008-02,2
2008-03,5
2008-04,3
2008-05,3
2008-06,3
2008-07,0
2008-08,3
2008-09,1
2008-10,2
2008-11,4
2008-12,2
2009-01,3
2009-02,2
2009-03,3
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,4
2009-11,1
2009-12,4
2010-01,2
2010-02,3
2010-03,4
2010-04,2
2010-05,3
2010-06,2
2010-07,3
2010-08,2
2010-09,4
2010-10,3
2010-11,5
2010-12,2
2011-01,4
2011-02,3
2011-03,3
2011-04,5
2011-05,3
2011-06,3
2011-07,3
2011-08,3
2011-09,4
2011-10,3
2011-11,5
2011-12,6
2012-01,3
2012-02,4
2012-03,3
2012-04,5
2012-05,5
2012-06,4
2012-07,3
2012-08,3
2012-09,5
2012-10,5
2012-11,5
2012-12,4
2013-01,5
2013-02,6
2013-03,6
2013-04,7
2013-05,5
2013-06,7
2013-07,6
2013-08,5
2013-09,8
2013-10,7
2013-11,6
2013-12,8
2014-01,7
2014-02,10
2014-03,9
2014-04,10
2014-05,8
2014-06,10
2014-07,9
2014-08,9
2014-09,14
2014-10,13
2014-11,11
2014-12,12
2015-01,13
2015-02,14
2015-03,13
2015-04,16
2015-05,15
2015-06,14
2015-07,19
2015-08,15
2015-09,19
2015-10,24
2015-11,21
2015-12,20
2016-01,18
2016-02,23
2016-03,23
2016-04,22
2016-05,26
2016-06,24
2016-07,20
2016-08,24
2016-09,25
2016-10,31
2016-11,34
2016-12,34
2017-01,40
2017-02,46
2017-03,46
2017-04,51
2017-05,57
2017-06,53
2017-07,54
2017-08,60
2017-09,68
2017-10,71
2017-11,71
2017-12,70
2018-01,72
2018-02,79
2018-03,77
2018-04,84
2018-05,83
2018-06,79
2018-07,82
2018-08,81
2018-09,90
2018-10,94
2018-11,91
2018-12,83
2019-01,84
2019-02,91
2019-03,93
2019-04,100
2019-05,97
2019-06,95
2019-07,90
2019-08,89
